timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1480464567699,170,Search Page course keyword,200,OK,JMeter SEARCH_TEST 1-5,text,true,,1954,1,1,170,0
1480464567870,84,Search Page randomstring,200,OK,JMeter SEARCH_TEST 1-5,text,true,,1849,1,1,84,0
1480464567955,562,Search Page CS,200,OK,JMeter SEARCH_TEST 1-5,text,true,,2882,1,1,562,0
1480464568518,77,Search Page randomstring,200,OK,JMeter SEARCH_TEST 1-5,text,true,,1849,1,1,77,0
1480464571101,64,Index Page,200,OK,JMeter SEARCH_TEST 1-6,text,true,,1503,1,1,64,0
1480464571165,528,Course Listing Page,200,OK,JMeter SEARCH_TEST 1-6,text,true,,2727,1,1,527,0
1480464571694,80,Search Page course keyword,200,OK,JMeter SEARCH_TEST 1-6,text,true,,1846,1,1,80,0
1480464571775,84,Search Page randomstring,200,OK,JMeter SEARCH_TEST 1-6,text,true,,1849,1,1,84,0
1480464571860,652,Search Page CS,200,OK,JMeter SEARCH_TEST 1-6,text,true,,2882,1,1,652,0
1480464572513,88,Search Page randomstring,200,OK,JMeter SEARCH_TEST 1-6,text,true,,1849,1,1,88,0
1480464575098,65,Index Page,200,OK,JMeter SEARCH_TEST 1-7,text,true,,1503,1,1,65,0
1480464575164,522,Course Listing Page,200,OK,JMeter SEARCH_TEST 1-7,text,true,,2727,1,1,522,0
1480464575688,179,Search Page course keyword,200,OK,JMeter SEARCH_TEST 1-7,text,true,,1954,1,1,179,0
1480464575868,83,Search Page randomstring,200,OK,JMeter SEARCH_TEST 1-7,text,true,,1849,1,1,83,0
1480464575952,656,Search Page CS,200,OK,JMeter SEARCH_TEST 1-7,text,true,,2882,1,1,655,0
1480464576608,78,Search Page randomstring,200,OK,JMeter SEARCH_TEST 1-7,text,true,,1849,1,1,78,0
1480464579099,69,Index Page,200,OK,JMeter SEARCH_TEST 1-8,text,true,,1503,1,1,69,0
1480464579169,510,Course Listing Page,200,OK,JMeter SEARCH_TEST 1-8,text,true,,2727,1,1,510,0
1480464579680,80,Search Page course keyword,200,OK,JMeter SEARCH_TEST 1-8,text,true,,1849,1,1,79,0
1480464579760,88,Search Page randomstring,200,OK,JMeter SEARCH_TEST 1-8,text,true,,1849,1,1,88,0
1480464579849,649,Search Page CS,200,OK,JMeter SEARCH_TEST 1-8,text,true,,2882,1,1,648,0
1480464580498,79,Search Page randomstring,200,OK,JMeter SEARCH_TEST 1-8,text,true,,1849,1,1,79,0
1480464583098,66,Index Page,200,OK,JMeter SEARCH_TEST 1-9,text,true,,1503,1,1,66,0
